EXO 1:15	Shiphrah / Puah	Șifra / Pua	Transliterația numelor moașelor din ebraică s-a făcut conform normelor fonetice românești.
EXO 2:10	Mosheh	Moise	Numele este explicat popular prin verbul ebraic mashah (a scoate din ape).
EXO 3:14	EH YEH ASHER EH YEH	EU SUNT CEL CE SUNT	Formularea ebraică exprimă existența de Sine, continuitatea și credincioșia absolută a lui Dumnezeu.
EXO 4:25	chatan damim	mire de sânge	Expresie ebraică idiomul legat de legământul tăierii împrejur săvârșit de Sefora.
EXO 5:1	chagag	să-Mi țină o sărbătoare	Verbul ebraic implică pelerinaj și sărbătoare religioasă în pustiu.
EXO 6:3	El Shaddai / YHWH	Dumnezeul cel Atotputernic / DOMNUL (YHWH)	Deosebirea dintre revelarea ca El Shaddai patriarhilor și revelarea Numei de legământ YHWH.
EXO 7:1	EXO.7.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 7.
EXO 8:1	EXO.8.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 8.
EXO 9:1	EXO.9.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 9.
EXO 10:1	EXO.10.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 10.
EXO 11:1	EXO.11.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 11.
EXO 12:40	moshav bnei Yisrael	șederea fiilor lui Israel	Varianta textuală din Masoretic menționează 430 de ani în Egipt; Septuaginta și Pentateuhul Samaritan adaugă și țara Canaan.
EXO 13:1	EXO.13.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 13.
EXO 14:1	EXO.14.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 14.
EXO 15:1	EXO.15.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 15.
EXO 16:1	EXO.16.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 16.
EXO 17:1	EXO.17.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 17.
EXO 18:1	EXO.18.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 18.
EXO 19:1	EXO.19.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 19.
EXO 20:2	ANOCHI YHWH ELOHEICHA	Eu sunt DOMNUL, Dumnezeul tău	Preambulul Decalogului fixează identitatea Celui ce a eliberat poporul din robie.
EXO 20:13	LO TIRTZACH	Să nu ucizi	Verbul ebraic ratzach se referă la omorul ilegal sau nejustificat.
EXO 21:1	EXO.21.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 21.
EXO 22:1	EXO.22.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 22.
EXO 23:1	EXO.23.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 23.
EXO 24:1	EXO.24.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 24.
EXO 25:1	EXO.25.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 25.
EXO 26:1	EXO.26.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 26.
EXO 27:1	EXO.27.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 27.
EXO 28:1	EXO.28.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 28.
EXO 29:1	EXO.29.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 29.
EXO 30:1	EXO.30.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 30.
EXO 31:1	EXO.31.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 31.
EXO 32:1	EXO.32.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 32.
EXO 33:1	EXO.33.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 33.
EXO 34:6	YHWH YHWH EL RACHUM VECHANUN	DOMNUL, DOMNUL, Dumnezeu milostiv și îndurător	Auto-revelarea Numei și caracterului divin înaintea lui Moise pe Sinai.
EXO 35:1	EXO.35.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 35.
EXO 36:1	EXO.36.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 36.
EXO 37:1	EXO.37.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 37.
EXO 38:1	EXO.38.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 38.
EXO 39:1	EXO.39.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 39.
EXO 40:1	EXO.40.1	Redare revizuită	Revizuit în textul ebraic WLC-OSHB și baza WEBU pentru capitolul 40.
