EXO 1:1	Iată numele fiilor lui Israel care au venit în Egipt cu Iacov, fiecare cu familia lui:
EXO 1:2	Ruben, Simeon, Levi și Iuda,
EXO 1:3	Isahar, Zabulon și Beniamin,
EXO 1:4	Dan și Neftali, Gad și Așer.
EXO 1:5	Toate sufletele ieșite din coapsele lui Iacov erau șaptezeci de suflete; iar Iosif era deja în Egipt.
EXO 1:6	Iosif a murit, precum și toți frații lui și toată generația aceea.
EXO 1:7	Fiii lui Israel au fost roditori, s-au înmulțit peste măsură, au sporit și au devenit extrem de puternici, așa că țara s-a umplut de ei.
EXO 1:8	Peste Egipt s-a ridicat un nou împărat, care nu-l cunoștea pe Iosif.
EXO 1:9	El a zis poporului său: „Iată că poporul fiilor lui Israel este mai numeros și mai puternic decât noi.
EXO 1:10	Veniți să ne purtăm cu înțelepciune față de el, ca să nu se înmulțească și, dacă va izbucni vreun război, să nu se alăture vrăjmașilor noștri, să lupte împotriva noastră și să plece din țară.”
EXO 1:11	De aceea au pus peste ei supraveghetori de corvezi ca să-i asuprească cu sarcini grele. Astfel au zidit pentru Faraon cetăți de provizii: Pitom și Raamses.
EXO 1:12	Dar cu cât îi asupreau mai mult, cu atât se înmulțeau și se lățeau mai mult; așa că egiptenii s-au îngrozit de fiii lui Israel.
EXO 1:13	Egiptenii i-au supus pe fiii lui Israel la o muncă grea, cu cruzime,
EXO 1:14	și le-au făcut viața amară prin muncă aspră la lut, la cărămizi și la tot felul de munci de pe câmp; în toate aceste munci îi chinuiau cu cruzime.
EXO 1:15	Împăratul Egiptului a vorbit moașelor evreilor, dintre care una se numea Șifra și cealaltă Pua,
EXO 1:16	și le-a zis: „Când moșiți pe femeile evreilor și le vedeți pe scaunul de naștere, dacă este băiat, să-l omorâți; iar dacă este fată, să trăiască.”
EXO 1:17	Dar moașele s-au temut de Dumnezeu și n-au făcut ce le poruncise împăratul Egiptului, ci au lăsat băieții să trăiască.
EXO 1:18	Împăratul Egiptului le-a chemat pe moașe și le-a zis: „Pentru ce ați făcut lucrul acesta și ați lăsat băieții să trăiască?”
EXO 1:19	Moașele i-au răspuns lui Faraon: „Femeile evreice nu sunt ca cele egiptence; ele sunt vânjoase și nasc înainte de a ajunge moașa la ele.”
EXO 1:20	Dumnezeu le-a făcut bine moașelor, iar poporul s-a înmulțit și a ajuns foarte puternic.
EXO 1:21	Și pentru că moașele s-au temut de Dumnezeu, El le-a dăruit familii.
EXO 1:22	Atunci Faraon a dat următoarea poruncă întregului său popor: „Orice băiat care se va naște să-l aruncați în Nil, iar pe orice fată să o lăsați să trăiască.”
EXO 2:1	Un om din casa lui Levi s-a dus și a luat de nevastă pe o fiică a lui Levi.
EXO 2:2	Femeia a rămas însărcinată și a născut un fiu. Văzând că este frumos, l-a ascuns trei luni.
