totalClasses	857
totalOccurrences	6550
rank	token	occurrences	possibleDiacritizedForms
1	ca	1240	că
2	sau	493	său
3	sa	334	să
4	va	298	vă
5	inima	207	inimă
6	aceasta	151	această
7	lumina	133	lumină
8	slava	113	slavă
9	tine	109	ține
10	biserica	97	biserică
11	peste	91	pește
12	casa	84	casă
13	judecata	80	judecată
14	mila	76	milă
15	frica	73	frică
16	porunca	73	poruncă
17	da	60	dă
18	lipsa	58	lipsă
19	luam	56	luăm
20	persoana	54	persoană
21	scriptura	53	scriptură
22	problema	40	problemă
23	pilda	39	pildă
24	grija	37	grijă
25	urma	36	urmă
26	transforma	35	transformă
27	fata	34	fața|față
28	lauda	32	laudă|lăuda
29	masa	31	masă
30	munca	27	muncă
31	piatra	27	piatră
32	vina	25	vină
33	apa	24	apă
34	forma	24	formă
35	taina	24	taină
36	jertfa	23	jertfă
37	noua	23	nouă
38	poarta	22	poartă
39	boala	21	boală
40	simpla	21	simplă
41	ispita	20	ispită
42	lupta	20	luptă
43	marea	20	mărea
44	predica	20	predică
45	comoara	19	comoară
46	disciplina	19	disciplină
47	ridica	19	ridică
48	hrana	17	hrană
49	limba	17	limbă
50	minciuna	17	minciună
51	ura	17	ură
52	confunda	16	confundă
53	dovada	16	dovadă
54	alta	15	altă
55	plata	15	plată
56	teama	15	teamă
57	cauza	14	cauză
58	dreapta	14	dreaptă
59	lista	14	listă
60	pofta	14	poftă
61	refuza	14	refuză
62	doctrina	13	doctrină
63	exista	13	există
64	judeca	13	judecă
65	mireasa	13	mireasă
66	pana	13	până
67	vorba	13	vorbă
68	disputa	12	dispută
69	fiara	12	fiară
70	ii	12	îi
71	sinagoga	12	sinagogă
72	turma	12	turmă
73	ajuta	11	ajută
74	asculta	11	ascultă
75	considera	11	consideră
76	furtuna	11	furtună
77	par	11	păr
78	sta	11	stă
79	ultima	11	ultimă
80	cina	10	cină
81	gura	10	gură
82	odihna	10	odihnă
83	povara	10	povară
84	rana	10	rană
85	singura	10	singură
86	slujba	10	slujbă
87	tema	10	temă
88	vindeca	10	vindecă
89	explica	9	explică
90	fuga	9	fugă
91	lazar	9	lazăr
92	mama	9	mamă
93	cultura	8	cultură
94	fapta	8	faptă
95	formula	8	formulă
96	limita	8	limită
97	natura	8	natură
98	omeneasca	8	omenească
99	vad	8	văd
100	cat	7	cât
101	data	7	dată
102	haina	7	haină
103	multa	7	multă
104	muta	7	mută
105	ora	7	oră
106	pedeapsa	7	pedeapsă
107	perspectiva	7	perspectivă
108	prejudecata	7	prejudecată
109	religioasa	7	religioasă
110	roada	7	roadă
111	schimba	7	schimbă
112	umbla	7	umblă
113	batjocura	6	batjocură
114	cununa	6	cunună
115	iata	6	iată
116	ma	6	mă
117	medicina	6	medicină
118	nunta	6	nuntă
119	prezenta	6	prezentă|prezența|prezență
120	pusa	6	pusă
121	regula	6	regulă
122	sai	6	săi
123	sursa	6	sursă
124	victima	6	victimă
125	aduna	5	adună
126	adusa	5	adusă
127	bucura	5	bucură
128	clipa	5	clipă
129	costa	5	costă
130	critica	5	critică
131	deschisa	5	deschisă
132	graba	5	grabă
133	hula	5	hulă
134	logica	5	logică
135	pastor	5	păstor
136	pastorul	5	păstorul
137	pricina	5	pricină
138	prigoana	5	prigoană
139	reala	5	reală
140	socoteala	5	socoteală
141	tehnica	5	tehnică
142	urmarea	5	urmărea
143	acuza	4	acuză
144	buna	4	bună
145	colecta	4	colectă
146	declara	4	declară
147	eticheta	4	etichetă
148	evita	4	evită
149	exprima	4	exprimă
150	fiica	4	fiică
151	ignora	4	ignoră
152	metoda	4	metodă
153	moara	4	moară
154	moneda	4	monedă
155	neghina	4	neghină
156	pastorului	4	păstorului
157	perioada	4	perioadă
158	preda	4	predă
